loan_amnt,hardship_flag,revol_bal,out_prncp,total_pymnt,disbursement_method,total_pymnt_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,application_type,total_rec_int,addr_state,total_rec_prncp,verification_status,term,int_rate,grade,emp_length,home_ownership,purpose,issue_d,loan_status,pymnt_plan,debt_settlement_flag,annual_inc,last_credit_pull_d
12000.0,0,13692.0,0.0,12649.8546056321,0,12649.85,0.0,0.0,0.0,12047.45,0,649.85,13,12000.0,2,1,19.99,3,10.0,3,2,0,0,0,0,44000.0,0.5863013698630137
6200.0,0,16569.0,0.0,6241.3757778363,0,6241.38,0.0,0.0,0.0,6251.23,0,41.38,8,6200.0,0,0,11.44,1,10.0,1,2,0,0,0,0,146500.0,0.08493150684931507
8000.0,0,121.0,0.0,8459.0896905931,0,8459.09,0.0,0.0,0.0,7388.28,0,459.09,30,8000.0,1,0,13.49,2,2.0,2,6,0,0,0,0,45000.0,0.4191780821917808
25000.0,0,12693.0,0.0,27811.173895788997,0,27811.17,0.0,0.0,0.0,24584.3,0,2811.17,11,25000.0,2,1,21.49,3,10.0,1,2,0,0,0,0,72500.0,0.336986301369863
32000.0,0,16955.0,0.0,35173.9661754834,0,35173.97,0.0,0.0,0.0,29899.49,0,3173.97,10,32000.0,1,1,14.99,2,2.0,1,8,0,0,0,0,165000.0,0.08493150684931507
12000.0,0,1291.0,0.0,12670.0893775517,0,12670.09,15.0,0.0,0.0,11876.97,0,655.09,33,12000.0,0,1,12.74,2,10.0,2,11,0,0,0,0,50000.0,0.4191780821917808
11000.0,0,17930.0,0.0,11815.4093940496,0,11815.41,0.0,0.0,0.0,9619.31,0,815.41,34,11000.0,0,0,12.74,2,10.0,1,2,0,0,0,0,60000.0,0.08493150684931507
30000.0,0,82474.0,0.0,5136.64,0,5136.64,0.0,0.0,0.0,1039.82,0,1727.17,9,3409.47,2,0,14.99,2,5.0,2,1,0,1,0,0,120000.0,0.08493150684931507
4200.0,0,9252.0,0.0,4394.394818159601,0,4394.39,0.0,0.0,0.0,3978.85,0,194.39,32,4200.0,2,0,12.74,2,2.0,3,2,0,0,0,0,35000.0,0.5041095890410959
4400.0,0,956.0,0.0,4525.8663670920005,0,4525.87,0.0,0.0,0.0,3983.05,0,125.87,13,4400.0,0,0,7.49,0,10.0,1,2,0,0,0,0,62000.0,0.08493150684931507
16000.0,0,13659.0,0.0,1131.5,0,1131.5,0.0,0.0,0.0,389.01,0,597.01,33,534.49,1,1,15.99,2,5.0,3,2,0,1,0,0,360000.0,0.08493150684931507
16000.0,1,9374.0,12899.13,4311.37,0,4311.37,0.0,0.0,0.0,122.44,0,1210.5,42,3100.87,1,0,11.39,1,6.0,3,2,0,1,1,0,60000.0,0.08493150684931507
6000.0,0,19646.0,4956.59,1767.02,0,1767.02,0.0,0.0,0.0,222.96,0,723.61,45,1043.41,2,0,19.99,3,6.0,2,1,0,1,0,0,49000.0,0.08493150684931507
4800.0,0,1317.0,0.0,5079.4734732617,0,5079.47,0.0,0.0,0.0,4443.4,0,279.47,42,4800.0,1,0,12.74,2,7.0,2,8,0,0,0,0,39000.0,0.4191780821917808
8400.0,0,12427.0,0.0,9035.633473887,0,9035.63,0.0,0.0,0.0,7329.59,0,635.63,26,8400.0,0,0,13.99,2,2.0,1,2,0,0,0,0,52000.0,0.08493150684931507
4000.0,0,9277.0,0.0,4170.3713797663,0,4170.37,0.0,0.0,0.0,3159.75,0,170.37,3,4000.0,1,0,6.99,0,9.0,1,3,0,0,0,0,42000.0,0.16712328767123288
